Location,BRFSS,TimeFrame,DataType,Data
Marion,County Group,2011-2012,Percent,0.1568
Marshall,County,2011-2012,Percent,0.0724
Marshall,County Group,2011-2012,Percent,0.102
Martin,County,2011-2012,Percent,0.222
Martin,County Group,2011-2012,Percent,0.193
Mason,County,2011-2012,Percent,0.1172
Mason,County Group,2011-2012,Percent,0.1242
McCracken,County,2011-2012,Percent,0.1182
McCracken,County Group,2011-2012,Percent,0.1182
McCreary,County,2011-2012,Percent,0.2367
McCreary,County Group,2011-2012,Percent,0.197
McLean,County,2011-2012,Percent,0.1242
McLean,County Group,2011-2012,Percent,0.158
Meade,County,2011-2012,Percent,0.2067
Meade,County Group,2011-2012,Percent,0.1953
Menifee,County,2011-2012,Percent,0.2304
Menifee,County Group,2011-2012,Percent,0.188
Mercer,County,2011-2012,Percent,0.2048
Mercer,County Group,2011-2012,Percent,0.1568
Metcalfe,County,2011-2012,Percent,0.1807
Metcalfe,County Group,2011-2012,Percent,0.1946
Monroe,County,2011-2012,Percent,0.12
Monroe,County Group,2011-2012,Percent,0.186
Montgomery,County,2011-2012,Percent,0.1154
Montgomery,County Group,2011-2012,Percent,0.1076
Morgan,County,2011-2012,Percent,0.191
Morgan,County Group,2011-2012,Percent,0.188
Muhlenberg,County,2011-2012,Percent,0.0857
Muhlenberg,County Group,2011-2012,Percent,0.1837
Nelson,County,2011-2012,Percent,0.185
Nelson,County Group,2011-2012,Percent,0.1748
Nicholas,County,2011-2012,Percent,
Nicholas,County Group,2011-2012,Percent,0.1242
Ohio,County,2011-2012,Percent,0.2198
Ohio,County Group,2011-2012,Percent,0.1953
Oldham,County,2011-2012,Percent,0.1156
Oldham,County Group,2011-2012,Percent,0.1785
Owen,County,2011-2012,Percent,
Owen,County Group,2011-2012,Percent,0.1785
Owsley,County,2011-2012,Percent,
Owsley,County Group,2011-2012,Percent,0.1654
Pendleton,County,2011-2012,Percent,0.0479
Pendleton,County Group,2011-2012,Percent,0.1179
Perry,County,2011-2012,Percent,0.2119
Perry,County Group,2011-2012,Percent,0.2005
Pike,County,2011-2012,Percent,0.1551
Pike,County Group,2011-2012,Percent,0.1551
Powell,County,2011-2012,Percent,
Powell,County Group,2011-2012,Percent,0.1076
Pulaski,County,2011-2012,Percent,0.1725
Pulaski,County Group,2011-2012,Percent,0.1725
Robertson,County,2011-2012,Percent,
Robertson,County Group,2011-2012,Percent,0.1242
Rockcastle,County,2011-2012,Percent,0.1152
Rockcastle,County Group,2011-2012,Percent,0.1654
Rowan,County,2011-2012,Percent,0.1155
Rowan,County Group,2011-2012,Percent,0.1155
Russell,County,2011-2012,Percent,0.2266
Russell,County Group,2011-2012,Percent,0.186
Scott,County,2011-2012,Percent,0.0976
Scott,County Group,2011-2012,Percent,0.1389
Shelby,County,2011-2012,Percent,0.2367
Shelby,County Group,2011-2012,Percent,0.1785
Simpson,County,2011-2012,Percent,0.3258
Simpson,County Group,2011-2012,Percent,0.1837
Spencer,County,2011-2012,Percent,
Spencer,County Group,2011-2012,Percent,0.1748
Taylor,County,2011-2012,Percent,0.2019
Taylor,County Group,2011-2012,Percent,0.186
Todd,County,2011-2012,Percent,0.0692
Todd,County Group,2011-2012,Percent,0.1163
Trigg,County,2011-2012,Percent,0.0938
Trigg,County Group,2011-2012,Percent,0.102
Trimble,County,2011-2012,Percent,
Trimble,County Group,2011-2012,Percent,0.1785
Union,County,2011-2012,Percent,0.0987
Union,County Group,2011-2012,Percent,0.1534
Warren,County,2011-2012,Percent,0.1295
Warren,County Group,2011-2012,Percent,0.1295
Washington,County,2011-2012,Percent,0.072
Washington,County Group,2011-2012,Percent,0.1568
Wayne,County,2011-2012,Percent,0.2455
Wayne,County Group,2011-2012,Percent,0.186
Webster,County,2011-2012,Percent,0.2538
Webster,County Group,2011-2012,Percent,0.158
Whitley,County,2011-2012,Percent,0.1906
Whitley,County Group,2011-2012,Percent,0.197
Wolfe,County,2011-2012,Percent,0.2404
Wolfe,County Group,2011-2012,Percent,0.1654
Woodford,County,2011-2012,Percent,0.1245
Woodford,County Group,2011-2012,Percent,0.1389
